,kind,etag,id,snippet
0,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6_ZcyBkvhl75TCAkumInF_2njDE""",UgyCrVBCl2zQ5Q_k-9l4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/_uFYpgzZknxgULjlmcZvR8vniGc""', 'id': 'UgyCrVBCl2zQ5Q_k-9l4AaABAg', 'snippet': {'authorDisplayName': 'TheQuartering', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l7-SvkcUBz7NiUQaE1NbpYPfWWOsBe3jZyw45A=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag', 'authorChannelId': {'value': 'UCfwE_ODI1YTbdjkzuSi1Nag'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'It&#39;s Time To Mobilize Everyone!  Please Leave A Like &amp; Comment On This Video &amp; Share The Fuck Out Of It!  Let&#39;s Get This Thing Trending Now! Get Woke Go Broke! Everyone Has To Stand Together Against Censorship!', 'textOriginal': ""It's Time To Mobilize Everyone!  Please Leave A Like & Comment On This Video & Share The Fuck Out Of It!  Let's Get This Thing Trending Now! Get Woke Go Broke! Everyone Has To Stand Together Against Censorship!"", 'canRate': True, 'viewerRating': 'none', 'likeCount': 213, 'publishedAt': '2020-02-17T23:18:42.000Z', 'updatedAt': '2020-02-17T23:23:09.000Z'}}, 'canReply': True, 'totalReplyCount': 44, 'isPublic': True}"
1,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/a2hq0XOUUmM8E6ABz_ReeaWrvnY""",UgycLIm32gHCI1PEVJd4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/rVtBCnPQnFJsD-UEQ3LnMRisSD8""', 'id': 'UgycLIm32gHCI1PEVJd4AaABAg', 'snippet': {'authorDisplayName': 'Pablo Limonta', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l79EITkVfPIwbZarf09JXr46GJgzfWDjKZm68Q=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYxVClOkXke3EUklAny2Kkg', 'authorChannelId': {'value': 'UCYxVClOkXke3EUklAny2Kkg'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'The beach scene &quot;updated&quot; ? Oh fuck them to space', 'textOriginal': 'The beach scene ""updated"" ? Oh fuck them to space', 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:14:42.000Z', 'updatedAt': '2020-02-18T04:14:42.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
2,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/HX4YDCyRADp2GgvJF5OJHXapTLg""",Ugzn0e0Myf80YFl6Aat4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/t--WnU_Y1gskb8WJNRbBp6gvyqM""', 'id': 'Ugzn0e0Myf80YFl6Aat4AaABAg', 'snippet': {'authorDisplayName': 'பெண் உலக மூலம்', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l7-XviZlcq4vrsNm8TiXhYRW6DVTLx_pf8nL4w=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCIhM8bIrL7BcFjarsAPcZAg', 'authorChannelId': {'value': 'UCIhM8bIrL7BcFjarsAPcZAg'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'ofc a female will ruin anything that men enjoy', 'textOriginal': 'ofc a female will ruin anything that men enjoy', 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:14:23.000Z', 'updatedAt': '2020-02-18T04:14:23.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
3,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/mz4k4zwWEACWOjesEmCpGU6Tjt4""",UgycE58kMWUBkBQQRtR4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/DWFqzgqCnOk3alAQBBZ8--ds6Ek""', 'id': 'UgycE58kMWUBkBQQRtR4AaABAg', 'snippet': {'authorDisplayName': 'Normal Viewer', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l7_xX7_snRJGN-MUhg0muYKx30hfwTupzptqDw=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtMyNlR7lZr2a9rMjOAewUA', 'authorChannelId': {'value': 'UCtMyNlR7lZr2a9rMjOAewUA'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'I&#39;m 22 years old part of the ACTUAL new generation (gen Z). We hate this censorship and NPC crap by the millennials and Boomers. We even hate the colleges today hence why college attendance is on decline. Hopefully Gen Z will rise and tell these millennials to take one in the ass which is already starting to surge.', 'textOriginal': ""I'm 22 years old part of the ACTUAL new generation (gen Z). We hate this censorship and NPC crap by the millennials and Boomers. We even hate the colleges today hence why college attendance is on decline. Hopefully Gen Z will rise and tell these millennials to take one in the ass which is already starting to surge."", 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:13:38.000Z', 'updatedAt': '2020-02-18T04:14:01.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
4,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/rhZf651rm9HAPV5O_NhTt8cQo6o""",UgzBsZ8GETuscpHfg2l4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/TzptY6Thctu7zuFvtfPhH-RiOdA""', 'id': 'UgzBsZ8GETuscpHfg2l4AaABAg', 'snippet': {'authorDisplayName': 'H Grimes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l79jNoG43zzi8MRnYu-PdOPUWmNiroBKWDuDWQ=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZ18dMuVKMaRl7JJ68rR4vw', 'authorChannelId': {'value': 'UCZ18dMuVKMaRl7JJ68rR4vw'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'There is a simple solution to this garbage..... If someone tells you to change your game, movie, book ect tell them to fuck right off.', 'textOriginal': 'There is a simple solution to this garbage..... If someone tells you to change your game, movie, book ect tell them to fuck right off.', 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:13:14.000Z', 'updatedAt': '2020-02-18T04:13:14.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
5,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/kk3eEoseNTfV4az3TwmSNazI65o""",UgwvGboUyozhsMS9wIh4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/N4Z6w_gRRA_JKXXgaKtjIzgfs6U""', 'id': 'UgwvGboUyozhsMS9wIh4AaABAg', 'snippet': {'authorDisplayName': '4Curses', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l7-ctO73yd9kuoGGepjrOnQYdczVpZL9ABm0Eg=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNPxw6n27pzXzPg9EJ8ioag', 'authorChannelId': {'value': 'UCNPxw6n27pzXzPg9EJ8ioag'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'evil IS evil, not matter how big or small. censorship is evil.', 'textOriginal': 'evil IS evil, not matter how big or small. censorship is evil.', 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:11:29.000Z', 'updatedAt': '2020-02-18T04:12:10.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
6,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JHRFwWT3YOwrQkQM0Inji-GAl84""",Ugx5MIToGo8EreQRdBx4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/_jFn5RWEHR7o6zDzHdmnm0S_1H4""', 'id': 'Ugx5MIToGo8EreQRdBx4AaABAg', 'snippet': {'authorDisplayName': 'K. Dog', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l797Gbm8Oy9kztoWWTuMHphMukojYkSwqyQSHQ=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7nxtT8IzJFBpAf0zHDdQxg', 'authorChannelId': {'value': 'UC7nxtT8IzJFBpAf0zHDdQxg'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'Yeah I truly don&#39;t believe that any customers really complained at least not any number of customers really complained. Because every time these people or people like them write an article like this or try to make a hit piece on somebody they usually pull the one comment or tweet they can find to support their claim, even if it&#39;s fake or even if it&#39;s a very very very small percentage of the community who is doing whatever they&#39;re complaining about. Then they usually take that and put it in the article. So where is it? where&#39;s the proof that  so many people are complaining about this?', 'textOriginal': ""Yeah I truly don't believe that any customers really complained at least not any number of customers really complained. Because every time these people or people like them write an article like this or try to make a hit piece on somebody they usually pull the one comment or tweet they can find to support their claim, even if it's fake or even if it's a very very very small percentage of the community who is doing whatever they're complaining about. Then they usually take that and put it in the article. So where is it? where's the proof that  so many people are complaining about this?"", 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:09:49.000Z', 'updatedAt': '2020-02-18T04:09:49.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
7,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/IzQRjpywu9hSy-EaJWA3IFDGtIg""",UgyWPbptUHsXO1WZ3wZ4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/uan2pRP0lp9SahHG2BMeSPyL07Y""', 'id': 'UgyWPbptUHsXO1WZ3wZ4AaABAg', 'snippet': {'authorDisplayName': 'killer0178', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l7901PgOVPvtkNwcjm5Pt11tkwWNVT34_jF25Q=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCc2FoIxuNddm4gNoT5ySH3Q', 'authorChannelId': {'value': 'UCc2FoIxuNddm4gNoT5ySH3Q'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'Well guess I won&#39;t get the game at launch, will wait for a sale...this is just stupid. That scene on the original game is a drop on the ocean of the game that is Persona 5... Been a fan of persona games since the third, no one that likes persona cares about this crap, these scenes are just hilarious', 'textOriginal': ""Well guess I won't get the game at launch, will wait for a sale...this is just stupid. That scene on the original game is a drop on the ocean of the game that is Persona 5... Been a fan of persona games since the third, no one that likes persona cares about this crap, these scenes are just hilarious"", 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:09:40.000Z', 'updatedAt': '2020-02-18T04:09:40.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
8,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/kWhd1BBrUI2GWFOg1f3RTH1NSts""",UgxXLyqG1pC_w4Smh_x4AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/7qmq7i1y18HGU6yAOus98YLbdTU""', 'id': 'UgxXLyqG1pC_w4Smh_x4AaABAg', 'snippet': {'authorDisplayName': 'Nicholas Agnew', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l7-6AyxuCDVyu8EOXdhCLsEatyZXk8PGXCqlHQ=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCezU9Dp7kLS5yEaa_iNNvgw', 'authorChannelId': {'value': 'UCezU9Dp7kLS5yEaa_iNNvgw'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'Wait what.... 😧', 'textOriginal': 'Wait what.... 😧', 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:09:28.000Z', 'updatedAt': '2020-02-18T04:09:28.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
9,youtube#commentThread,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/I8KBKItZZyd1vxvZwak6E3rqd58""",UgyA5oB8R2Age3ero094AaABAg,"{'videoId': 'UXz077wHCB8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '""Fznwjl6JEQdo1MGvHOGaz_YanRU/1iO_3k_K0WJ2w7vrnoVzsfcpNOs""', 'id': 'UgyA5oB8R2Age3ero094AaABAg', 'snippet': {'authorDisplayName': 'Kyriakos Kyprianou', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a/AGF-l7-ekecKSWJOUaP7wUjBHQlFNw8bq8fLd_-eRA=s48-c-k-c0xffffffff-no-rj-mo', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZOnuSbMM3Dn0A0SGOsnmew', 'authorChannelId': {'value': 'UCZOnuSbMM3Dn0A0SGOsnmew'}, 'videoId': 'UXz077wHCB8', 'textDisplay': 'A great game to buy used then', 'textOriginal': 'A great game to buy used then', 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2020-02-18T04:09:17.000Z', 'updatedAt': '2020-02-18T04:09:17.000Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}"
